Row Labels,Sum of Installs
70,1158283100
71,137415000
72,94453000
73,139110115
74,3827160600
75,325010001
76,6299110150
77,112100200
78,631221000
79,153530000
80,49510000
81,15611100
82,301321500
83,22120110
84,33300000
85,253330050
86,16171000
87,85605010
88,235060500
89,123551050
90,30105010
91,94410000
92,233101200
93,77151200
94,210551050
95,199261000
96,536810510
97,1062711050
98,428152110
99,835660050
VWD,1.02568E+11
Grand Total,1.67633E+11
